Name,VDW,HB,HP,HM,HS,RT,x-score,q,C,N,O,H,F,P,S,Cl,Br,I,1,2,3,am,ar,his,arg,lys,ile,phe,leu,trp,ala,met,pro,val,cys,asn,gly,ser,gln,tyr,thr,asp,glu,hoh,phis,parg,plys,pile,pphe,pleu,ptrp,pala,pmet,ppro,pval,pcys,pasn,pgly,pser,pgln,ptyr,pthr,pasp,pglu,exp
2gyi,311.5,6.7,0,0,0,3,4.96,0,4,1,5,9,0,0,0,0,0,0,16,1,0,1,0,4,0,2,2,5,1,2,3,2,5,1,0,4,4,0,0,0,4,5,3,18,10,32,11,12,22,38,6,49,7,20,20,1,8,35,9,13,9,21,35,27,7
4nxv,457.4,6.6,0,0,0,5,5.36,-2,10,5,11,13,0,2,0,0,0,0,31,3,0,1,8,1,2,3,2,1,11,0,3,0,2,3,0,0,1,5,3,2,4,3,2,25,5,21,11,15,9,52,5,31,5,22,21,7,9,15,21,13,13,14,20,21,5.42
3el4,987.1,3.9,135.3,6.89,480.2,9,8.88,1,38,6,5,51,0,0,0,0,0,0,79,4,0,4,17,0,2,1,4,1,5,0,1,1,3,3,0,2,6,0,0,0,4,3,0,15,1,4,7,12,2,11,2,3,2,7,6,2,4,13,0,5,1,9,4,4,7.17
2vvu,748.4,1.5,96.1,2.08,340.9,3,7.32,1,22,4,3,21,1,0,1,1,0,0,39,7,0,4,6,3,2,3,5,3,1,1,3,1,0,4,3,0,8,4,2,3,4,4,4,14,5,13,17,13,12,13,4,13,5,6,16,9,7,22,11,9,8,20,11,20,8.1
3wvm,511.7,2.4,158.1,5.9,368.3,16,6.08,-1,18,0,2,35,0,0,0,0,0,0,52,0,0,0,2,1,4,4,0,2,6,0,2,2,1,2,1,1,1,3,1,2,10,3,2,24,3,4,14,7,6,14,2,6,3,1,10,1,3,10,6,3,2,19,11,8,5.71
3fvn,543.5,9.3,23,0.36,75.9,4,6.21,-1,11,1,7,16,0,0,0,0,0,0,32,0,0,0,4,0,3,2,5,3,6,1,3,3,1,4,0,1,7,5,0,4,5,2,3,4,2,13,21,20,7,24,4,12,9,9,13,3,9,21,15,9,14,19,17,15,6.77
3ljz,854.1,5.1,106.9,2.95,218,5,7.83,0,27,2,6,26,0,0,0,0,0,0,43,2,0,2,18,5,0,0,1,7,7,1,6,2,3,1,0,1,2,3,0,4,2,5,2,6,9,3,9,7,13,13,3,10,5,11,7,0,6,14,11,2,8,10,15,5,8.14
3exh,637.8,8.8,58.5,0.82,191.4,7,6.62,-1,12,4,7,16,0,2,1,0,0,0,30,2,0,0,11,4,3,0,2,5,1,0,5,4,1,1,2,6,7,2,5,6,4,2,4,23,8,25,21,20,13,28,2,33,13,14,18,12,12,36,14,12,18,16,19,28,4.88
2yfx,571.8,1.7,66.8,3.49,204.9,4,6.46,1,21,5,1,23,1,0,0,2,0,0,42,2,0,0,12,1,3,3,4,3,6,0,5,2,1,4,3,1,7,1,0,1,2,2,5,13,5,17,11,21,14,28,4,16,11,23,16,11,11,21,17,12,9,12,14,20,8.09
3ppr,306.1,1.2,30.1,0.89,104.3,1,5.02,1,6,2,2,13,0,0,0,0,0,0,21,0,0,0,2,0,2,0,1,2,2,1,3,1,2,0,1,2,2,6,2,5,4,5,1,10,6,5,30,16,13,21,2,17,6,8,17,1,13,19,14,10,15,18,21,19,2.82
2jdu,277.5,7.3,1,0.53,36.9,1,5.15,0,7,0,5,14,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,5,2,4,2,1,2,4,1,14,0,2,1,3,5,8,1,10,0,3,17,0,15,10,11,7,1,12,5,3,6.72
4b5d,508.4,1.1,82.4,1.83,127.8,6,5.72,1,14,2,2,21,0,0,0,0,0,0,35,0,0,0,6,0,0,3,4,3,2,2,2,0,3,5,2,0,1,3,4,3,1,1,4,8,2,8,12,13,12,26,5,8,5,9,18,4,6,10,16,10,6,8,20,13,7.89
5cbm,366.3,5.2,37.1,1.01,118.5,5,5.29,-1,10,1,4,13,0,1,0,0,0,0,19,0,0,0,10,0,1,2,3,3,4,1,5,4,0,1,0,3,5,5,0,1,3,4,1,11,7,9,46,31,22,47,4,36,13,15,48,7,39,36,40,8,27,25,25,34,7.77
4gkh,497.4,1.8,100.3,5.13,276.1,0,6.9,0,19,5,0,19,0,0,0,0,0,0,28,1,0,0,17,0,2,2,5,2,7,0,3,0,2,2,1,2,4,1,2,1,5,3,2,16,6,14,11,12,16,29,6,16,0,14,16,4,15,17,12,9,7,9,24,11,4.67
4ffs,726.2,4.8,91.2,1.64,138.7,7,6.81,1,16,5,1,26,0,0,1,0,0,0,44,1,0,0,6,4,2,2,4,5,4,0,7,2,1,3,0,1,7,10,1,1,0,6,5,18,8,3,19,17,17,22,0,20,6,5,21,3,6,17,20,7,2,8,11,21,10.44
2bvd,477.3,7.3,10.9,0.13,7.2,4,5.64,1,12,1,8,24,0,0,0,0,0,0,46,0,0,0,0,3,1,1,1,3,0,6,1,0,1,0,0,3,2,0,3,2,3,1,5,20,5,12,12,24,10,10,15,29,3,8,15,1,22,20,20,10,17,15,14,14,6
5os2,289.3,0.4,57.2,2.49,118.8,2,5.12,1,13,2,1,21,0,0,0,0,0,0,32,0,0,0,6,2,3,1,0,2,4,0,2,0,0,3,0,0,0,0,1,2,1,1,4,3,10,19,17,13,12,33,4,17,3,14,14,2,7,15,16,9,12,11,10,23,2.74
4ibg,519.3,2,114.3,5.5,269.9,3,6.84,-1,27,1,7,19,0,0,0,1,0,0,35,3,0,1,20,2,3,3,5,1,6,0,1,0,3,5,3,0,4,2,5,1,0,4,0,14,4,7,8,13,5,11,1,9,1,10,7,4,2,8,8,9,1,3,10,2,3.97
2j27,238.8,5.9,0,0,0,2,4.68,-2,2,0,6,2,0,1,0,0,0,0,5,0,0,0,5,1,0,3,3,2,2,1,7,0,0,5,1,4,7,3,0,2,2,0,2,23,5,9,17,19,8,17,5,35,2,6,25,3,10,19,18,13,5,12,8,13,3.52
4mr3,373.4,1,94.2,3.07,186.8,2,5.78,0,18,2,4,18,0,0,0,0,0,0,29,2,0,1,12,0,0,2,3,2,3,1,3,4,2,2,1,2,0,0,2,3,0,3,0,35,1,3,12,7,5,13,3,5,5,12,5,2,12,2,2,9,7,8,6,8,5.94
3u90,245.1,1.2,63.9,3.75,192.5,11,4.54,-2,12,0,4,25,0,0,1,0,0,0,38,0,0,0,3,0,3,1,0,3,5,0,3,0,1,0,0,0,0,2,0,3,1,0,5,2,5,11,8,4,8,28,1,15,3,2,8,2,6,10,8,11,6,6,11,15,4.62
2hnx,440.8,2,135.2,4.82,319,14,5.66,-1,16,0,2,31,0,0,0,0,0,0,46,0,0,0,2,1,4,5,3,2,2,0,3,3,1,7,1,2,2,5,1,2,7,2,3,16,1,7,14,8,6,5,2,6,5,1,17,2,4,10,9,2,2,12,11,9,7.08
1c70,1067.7,3.1,180.7,6.18,516.4,10,9.15,2,39,4,5,50,0,0,0,0,0,0,80,3,0,2,18,0,4,2,10,2,7,0,2,2,4,6,0,3,13,0,0,0,6,6,1,20,2,8,12,26,4,24,4,6,4,12,12,4,6,26,2,12,2,16,8,8,10.3
2oiq,873.4,3.6,130,4.48,272.9,2,8.38,2,29,7,1,33,0,0,0,0,0,0,48,1,0,1,24,1,2,4,3,3,6,1,5,4,0,10,0,2,5,2,2,5,2,4,3,15,3,15,16,9,10,28,6,18,11,17,19,6,6,19,10,11,12,14,10,25,5
4trc,250.3,3.2,0,0,0,0,4.69,0,5,5,0,5,0,0,0,0,0,0,9,1,0,0,6,1,0,1,3,1,0,3,2,1,1,1,0,1,2,1,1,1,2,4,0,13,2,8,21,26,5,15,6,14,3,10,20,0,10,5,9,2,9,11,15,18,4.52
4zt8,223.4,0.7,12.9,0,38.1,0,4.48,1,4,3,1,6,0,0,0,0,0,0,9,2,0,1,2,0,3,0,2,1,4,1,3,1,0,2,0,3,2,1,1,2,1,1,4,12,3,13,9,17,8,28,1,23,3,11,17,0,16,14,21,11,13,19,10,9,4.39
2zcs,580.7,2.7,164.1,4.64,263,4,7.08,-3,16,0,6,16,0,1,1,0,0,0,23,0,0,0,18,1,5,1,7,3,7,0,6,2,0,6,2,1,3,4,1,5,3,3,3,16,12,14,20,26,16,18,2,19,9,4,18,3,11,8,12,17,21,9,22,23,8.22
4xya,428.6,2.8,46.9,2.11,92.3,0,5.91,0,13,5,1,8,0,0,0,0,1,0,17,2,0,0,12,0,0,2,2,2,2,1,3,4,2,2,1,3,0,0,2,4,0,3,0,21,1,3,12,7,5,13,3,5,5,12,5,2,12,2,2,9,7,8,6,8,5.86
3p9m,1132.8,11.2,171.8,6.48,519.9,25,8.81,0,43,9,12,71,0,0,0,0,0,0,111,7,0,7,10,1,7,3,4,4,8,3,7,2,0,7,2,1,3,2,4,12,4,1,6,40,8,21,11,6,6,26,9,19,4,15,16,5,7,23,11,13,17,19,15,26,5
5eek,426.1,3.6,103.9,3.19,157.4,2,6.19,0,17,2,3,22,0,0,0,0,0,0,33,4,0,1,6,6,1,0,1,5,1,0,1,0,4,1,2,4,7,1,0,1,0,5,2,12,20,22,8,21,14,37,4,31,11,18,17,7,16,25,33,8,11,16,16,21,9.1
4bqh,619.1,2,72.5,3,225.9,2,6.81,0,18,1,5,14,0,0,0,0,1,0,27,2,0,1,12,2,3,1,0,5,6,0,10,3,3,4,0,1,4,4,1,1,1,2,3,32,13,40,28,33,27,42,2,52,11,21,35,10,17,38,33,22,7,21,30,37,5.59
1c3x,311.9,1.9,1.6,1.11,79.6,0,5.09,0,5,5,1,4,0,0,0,0,0,1,11,4,0,2,0,3,1,0,1,2,4,1,3,1,2,4,1,2,7,2,1,3,1,0,1,9,11,16,2,11,4,30,2,37,3,18,25,2,4,30,14,4,4,19,12,18,3.68
1mrn,979.3,6.6,32,0.01,102.4,16,6.78,-5,20,7,23,25,0,5,0,0,0,0,60,4,0,4,16,2,11,1,1,2,3,1,15,1,1,5,0,2,5,4,1,5,2,7,5,16,4,20,4,6,4,21,4,43,2,5,16,1,3,22,9,8,7,6,12,11,4.52
4iva,549.9,2,49.8,1.68,154.4,3,6.12,0,17,5,1,19,0,0,0,0,0,0,36,2,1,0,6,0,2,5,3,2,7,0,1,2,1,6,0,2,6,2,2,3,1,3,3,22,8,19,23,18,12,29,3,8,9,13,17,5,15,18,15,14,13,10,16,25,7.16
4cjr,599.6,4,51.5,3.54,110.2,8,6.24,0,27,2,7,28,0,0,0,0,0,0,45,1,0,1,20,1,1,3,0,1,3,2,6,1,0,3,1,0,1,0,3,1,5,1,2,19,6,4,10,14,3,8,4,14,2,5,13,2,5,12,7,9,4,10,6,10,3.1
3b7r,679.3,7.7,61.6,1.06,289.6,7,6.88,-1,21,2,5,26,0,1,0,0,0,0,38,1,0,1,16,3,4,1,2,5,3,1,2,2,2,3,1,6,6,5,3,4,6,0,7,47,16,23,40,31,27,69,13,38,10,35,38,11,21,30,45,26,22,40,34,41,7.7
3f34,323,0,91.7,2.66,272.9,2,5.55,0,10,0,1,14,0,0,0,0,0,0,19,0,0,0,6,0,3,1,0,2,5,0,3,0,1,1,0,1,0,2,1,3,1,0,4,3,5,11,8,4,8,28,1,15,3,2,8,2,6,10,8,11,6,6,11,15,3.16
5nkb,709.3,3,83.6,3.24,230,0,7.49,0,25,5,3,28,0,0,1,1,0,0,51,3,0,1,12,0,3,6,7,2,3,0,4,3,0,5,0,3,3,1,0,2,2,2,6,30,5,18,19,21,11,23,5,20,14,14,20,4,9,19,16,8,11,14,15,19,9.12
1pbq,387.5,2.9,59.9,2.63,172.2,0,5.97,-1,10,1,3,4,0,0,0,2,0,0,8,0,0,0,13,1,1,2,5,7,3,2,3,2,2,5,1,2,4,3,3,0,3,2,1,32,6,14,22,17,15,19,4,13,9,9,20,7,14,17,16,12,10,17,15,19,6.27
3f33,368.3,0,110.9,3.71,319.3,2,5.99,0,12,0,1,18,0,0,0,0,0,0,25,0,0,0,6,0,3,2,0,2,5,0,3,0,1,1,0,1,0,2,1,3,1,0,4,5,5,11,8,4,8,28,1,15,3,2,8,2,6,10,8,11,6,6,11,15,3.34
2r75,731.8,13.8,0,0,0,7,6.84,-3,14,6,15,20,0,3,0,0,0,0,47,3,0,1,10,2,1,5,5,3,5,0,9,2,2,6,0,4,13,4,0,0,5,2,2,33,4,13,28,32,10,22,1,27,6,11,33,1,8,32,13,5,4,20,19,34,6.15
3vfa,920,2.6,116.2,4.07,292.4,11,7.67,0,30,3,8,39,0,0,1,0,0,0,66,4,0,3,12,0,2,1,5,1,4,0,3,1,3,2,0,2,6,0,0,0,3,3,1,27,1,4,7,15,2,10,2,6,2,6,5,0,3,13,1,5,1,8,4,4,9.19
1kyv,666.8,6.8,26.7,1.8,140.1,5,6.71,0,17,4,6,20,0,0,0,0,0,0,37,4,0,2,6,4,2,1,6,1,7,3,3,3,2,6,0,2,7,3,2,0,2,1,1,8,6,6,6,13,1,18,3,12,4,7,14,0,8,18,8,3,4,4,6,12,5.92
2f34,443.9,7.1,19.7,0.42,124.8,5,5.63,-1,14,3,6,14,0,0,1,0,0,0,27,5,0,3,4,0,2,3,4,3,5,2,3,3,2,3,0,1,5,5,0,3,5,2,3,38,2,12,22,19,7,25,4,11,9,8,13,2,8,20,16,9,14,18,17,15,6.89
3m1k,212.2,0.8,33.9,0.74,144.5,0,4.74,0,5,1,1,7,0,0,1,0,0,0,13,2,0,0,0,6,1,0,1,3,6,4,2,0,3,4,1,3,1,2,1,1,2,0,2,12,11,7,23,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,5.39
2fw6,369.1,8.2,7.2,0,37.4,4,5.29,-3,6,0,7,5,0,0,0,0,0,0,11,0,0,0,6,1,1,0,3,0,2,1,6,4,4,5,1,2,7,5,3,0,1,1,0,17,3,9,2,10,0,20,3,28,5,11,11,1,5,14,11,3,2,10,5,7,2.92
1pot,404.1,3.8,58.9,0.72,72.5,7,5.14,3,7,3,0,22,0,0,0,0,0,0,31,0,0,0,0,0,1,0,3,1,0,4,2,1,2,3,0,4,2,5,2,6,5,4,4,13,0,6,28,16,9,27,8,29,9,21,18,0,25,21,16,7,21,19,21,21,5.49
5fl6,368.9,2.1,45.8,2.04,156.3,1,5.61,0,13,4,2,12,0,0,2,0,0,0,22,6,0,1,6,6,2,0,1,0,7,2,4,0,3,5,1,2,0,3,2,1,2,1,3,10,8,18,1,6,11,35,5,23,2,25,13,2,6,23,17,13,5,11,7,20,7.36
4x6n,893.6,3.6,69.3,3.31,288.3,5,7.9,0,27,11,1,23,0,0,0,2,0,0,43,6,0,2,18,2,2,3,4,1,4,2,6,0,1,4,5,0,9,2,3,4,4,4,1,30,8,12,16,19,3,15,8,10,2,8,17,9,7,26,13,12,11,17,10,15,8.82
1d3p,792,1,107.6,3.75,342.9,10,7.13,2,32,3,3,39,0,0,1,0,0,0,64,1,0,0,18,1,5,2,4,2,3,3,3,1,1,3,5,3,8,2,0,4,1,6,4,9,5,20,21,17,10,25,8,12,7,15,16,8,10,21,16,8,11,10,18,20,7.39
3wto,444.3,1.9,39.7,1.63,105.4,2,5.67,0,9,4,0,9,0,0,0,1,0,0,16,2,0,0,6,2,2,1,0,0,2,2,3,1,2,5,2,0,1,4,2,5,5,1,2,12,3,14,7,13,6,11,5,11,1,11,22,4,8,5,26,8,7,14,17,13,6.92
1o1s,689.3,4.5,122.5,5.49,333.2,11,7.15,-2,24,0,9,27,0,2,0,0,0,0,43,3,0,0,17,4,1,5,0,3,3,4,6,2,1,1,4,3,5,2,4,10,2,3,1,33,14,27,18,23,12,44,10,21,5,18,30,2,21,12,23,27,20,13,28,33,7.31
1bxo,869.3,7.1,134.8,5.23,419.5,9,8.36,-1,30,4,9,46,0,1,0,0,0,0,74,5,0,4,8,0,0,0,6,5,6,2,4,0,1,0,0,5,11,8,3,3,5,7,2,54,3,0,5,13,20,21,3,24,0,12,23,2,15,40,46,25,14,30,23,4,10
4rhx,591.5,12.7,0,0,0,10,5.95,-1,15,7,8,25,0,2,0,0,0,0,45,5,0,2,6,1,3,2,2,3,9,1,4,1,1,8,0,1,6,4,0,4,1,7,2,46,2,14,4,12,5,24,1,12,1,7,19,1,5,13,12,6,9,10,17,9,5.8
2qrl,185,4.9,0,0,0,2,4.39,-2,4,1,5,3,0,0,0,0,0,0,6,1,0,1,4,2,2,3,0,4,3,0,5,0,1,0,0,0,1,1,1,0,0,2,3,15,11,22,26,25,17,35,5,36,3,28,24,4,14,21,17,9,9,25,22,18,4
3k99,489.5,2,64,1.59,179.9,0,6.19,0,15,1,3,13,0,0,0,0,0,0,23,4,0,1,6,1,1,3,7,2,5,0,2,2,0,4,0,2,5,3,0,0,5,4,2,24,4,7,16,20,10,19,1,14,6,5,10,0,8,15,15,9,7,17,13,22,7.22
1f8d,405.9,5.6,14.8,0.27,99.3,4,5.37,0,11,2,7,18,0,0,0,0,0,0,33,2,0,1,2,2,6,1,5,0,2,2,2,0,1,1,0,6,3,3,1,1,4,1,5,28,7,24,16,25,9,18,14,17,5,22,23,18,26,30,35,8,18,30,22,21,3.4
2yel,543.5,1.5,139.7,5.87,250.7,4,6.92,0,25,5,2,21,0,0,0,0,0,0,34,4,0,1,18,0,0,2,2,3,4,1,3,4,2,3,1,3,0,0,2,4,0,5,0,30,1,3,12,7,5,13,3,5,5,12,5,2,12,2,2,9,7,8,6,8,7.28
1b9j,756,9.7,78.7,2.62,259.2,13,7.05,2,18,5,4,39,0,0,0,0,0,0,59,2,0,2,2,3,4,0,1,2,4,2,3,1,3,3,2,9,3,7,1,11,3,3,4,36,11,17,43,23,16,44,13,40,3,31,44,2,36,22,28,18,28,30,39,29,5.96
2uwd,638.6,2.3,60.6,2.47,209.9,2,6.79,0,19,2,5,17,0,0,0,1,0,0,30,3,0,1,12,1,1,3,8,3,6,0,4,1,0,5,0,3,7,3,0,2,5,4,2,45,4,7,16,20,10,18,1,14,5,4,10,0,8,15,15,8,7,17,12,18,8.35
5nkc,700.1,4,99.8,3.87,284.7,1,7.64,-1,23,4,4,20,0,0,1,1,0,0,36,4,0,2,14,0,2,5,6,3,3,0,3,3,0,5,0,3,4,1,0,2,2,1,6,23,5,18,20,21,12,24,5,20,14,14,21,4,9,18,16,8,11,12,15,19,7.72
4z1j,406.4,3,83,3.25,147.9,1,6.08,0,16,2,3,16,0,0,1,0,0,0,23,3,0,2,12,5,1,1,1,3,7,2,2,0,3,4,1,3,3,2,2,1,2,0,2,19,12,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.11
1wht,399.7,5.4,82.2,1.31,162.1,4,5.76,-2,11,0,4,10,0,0,0,0,0,0,15,0,0,0,10,3,0,0,1,1,3,1,2,0,1,3,2,3,8,3,0,4,2,2,5,25,13,22,9,15,16,33,11,36,7,24,28,6,16,36,27,12,29,24,26,16,3.7
3jy0,460.9,1.9,74.6,2.22,180.8,2,6.02,1,15,3,2,15,0,0,1,1,0,0,30,3,0,1,6,2,2,3,6,3,7,0,1,0,2,4,0,1,6,3,1,1,1,4,4,0,11,21,7,18,14,32,7,9,3,15,22,5,6,20,19,11,7,7,19,22,8.3
2y5g,708.3,0.6,42.8,1.02,238.7,4,6.57,2,22,4,3,29,0,0,1,1,0,0,56,6,0,2,0,2,2,2,5,4,1,1,4,1,0,4,5,0,7,4,3,4,3,4,4,22,5,13,17,13,12,13,4,13,5,6,16,9,7,22,11,9,8,20,11,20,6.84
5kax,729.6,0,131.3,4.31,338.2,5,7.35,0,28,2,3,32,0,0,0,0,0,0,49,1,0,0,18,1,1,0,3,3,5,0,3,1,4,0,0,1,4,1,0,4,2,2,4,19,2,5,4,5,9,17,1,13,5,10,10,2,2,18,12,5,7,8,8,15,6.11
2q8z,543.6,12.8,10.8,0,37.3,3,6.43,-2,9,3,9,12,0,1,0,0,0,0,26,3,0,3,3,0,1,4,7,3,3,0,4,3,1,4,1,8,7,3,2,2,5,3,0,19,3,6,33,32,19,24,0,15,11,9,12,6,40,14,15,9,26,13,17,21,5.68
3shc,634.7,2.6,98.1,3.36,295.1,6,6.8,1,20,4,2,24,0,0,0,1,0,0,37,2,0,2,12,1,3,2,3,3,2,3,3,1,1,3,5,3,6,2,0,4,2,5,4,14,5,20,21,17,10,25,8,12,7,15,16,8,10,22,16,8,11,10,18,20,5.72
4f3k,746.9,5.7,60.6,0.74,55.7,8,6.55,1,16,6,3,25,0,0,1,0,0,0,44,1,0,0,8,2,1,0,4,3,4,0,11,2,1,4,1,2,10,6,0,1,1,5,4,19,6,7,11,17,8,23,0,29,4,5,22,5,9,21,11,7,4,13,14,14,10.16
1sqt,550.6,3.1,28.1,0,97.3,2,5.94,2,16,4,3,22,0,0,1,0,0,0,32,2,0,1,13,2,1,2,4,0,2,2,3,0,1,3,4,1,6,4,1,4,2,4,0,9,9,13,13,16,7,18,5,10,6,12,12,11,7,21,20,11,12,19,11,12,6.2
1xhy,431.5,8.1,52.7,1.31,119,4,5.95,-1,10,1,4,16,0,0,0,0,0,0,27,0,0,0,4,0,2,3,3,4,6,0,3,2,1,2,0,0,6,5,0,3,7,1,3,28,2,10,28,16,8,20,4,18,10,7,18,4,9,24,16,3,12,17,13,20,6.18
3ozr,521.9,6.3,33.9,0.34,55.2,3,5.98,1,14,2,8,16,0,0,0,0,0,0,30,4,0,1,6,1,1,3,1,1,4,2,3,3,2,4,2,4,5,1,0,4,1,5,4,8,2,9,13,10,4,27,2,16,7,10,15,5,6,14,10,13,12,11,17,10,5.15
1g7g,719.8,7.1,101.9,2.8,214.9,16,6.49,-3,30,3,10,34,0,0,0,0,0,0,54,3,0,3,18,1,7,4,2,1,4,1,1,1,1,2,2,3,6,4,3,2,2,2,1,17,9,17,22,16,14,27,6,13,10,12,16,6,10,14,24,14,9,13,18,27,6.6
